object_id,data,predicted_class
ZTF19aahibom,"[[[337.14615   369.51688   363.7308    ... 343.74365   365.60242
   351.3119   ]
  [357.6564    354.26718   387.9092    ... 376.9577    366.09515
   372.78473  ]
  [371.34976   370.16354   372.3347    ... 356.12354   347.53278
   371.89764  ]
  ...
  [381.63135   390.50067   349.9615    ... 366.8266    353.4519
   354.45233  ]
  [368.3529    367.62982   358.86572   ... 367.05304   342.51166
   352.57343  ]
  [361.3003    377.6761    373.81897   ... 362.9875    361.24896
   364.6161   ]]

 [[361.57895   361.83426   361.3608    ... 354.93716   358.9341
   359.65704  ]
  [357.79132   361.25317   361.2337    ... 359.40125   363.49768
   360.30246  ]
  [357.97595   359.5574    359.2073    ... 359.91342   358.76376
   356.7606   ]
  ...
  [360.05167   360.33417   361.4312    ... 358.666     357.55377
   360.86627  ]
  [363.33853   361.1979    361.64072   ... 358.43604   356.6275
   358.9019   ]
  [359.71063   356.56952   358.15662   ... 361.19272   357.41452
   356.85706  ]]

 [[ 23.1598     -6.61223    -4.556447  ...  10.517117   -5.8436594
     9.861133 ]
  [ -1.4867007   5.7777505 -30.353342  ... -16.156885   -3.9306939
   -16.06019  ]
  [-13.078163   -9.423471   -8.568078  ...   1.5795074  12.785439
    -9.889044 ]
  ...
  [-23.853018  -26.8582     11.594936  ...  -7.675933    6.2238545
     5.928598 ]
  [ -2.2769103  -8.904045    1.42401   ...  -8.513741   15.855871
     6.074048 ]
  [ -6.984546  -15.026831  -16.259508  ...  -3.3131216  -3.5504165
    -7.212895 ]]]",Periodic-Other
ZTF19aaapcev,"[[[237.05954    258.77847    237.18149    ... 231.4867     247.08954
   239.82312   ]
  [235.99063    255.6152     250.34903    ... 241.51556    250.49542
   238.4867    ]
  [227.26804    239.70352    235.2031     ... 246.38849    248.81165
   252.92719   ]
  ...
  [234.80621    236.94263    260.00378    ... 265.52725    231.85904
   245.85464   ]
  [239.21838    240.00275    237.54395    ... 250.64548    251.4971
   242.78232   ]
  [234.35156    267.78882    254.49188    ... 249.98581    241.80869
   237.5499    ]]

 [[247.30844    245.78465    245.66487    ... 244.24619    246.89908
   244.71175   ]
  [246.73071    247.2261     246.59328    ... 244.11473    243.98463
   244.15637   ]
  [246.42503    245.01544    245.50908    ... 246.70203    243.60936
   244.99536   ]
  ...
  [244.77695    244.42783    247.51486    ... 246.43147    245.51202
   243.4752    ]
  [242.60413    243.67899    245.1826     ... 247.63298    246.38533
   244.95036   ]
  [244.06013    244.98431    243.98218    ... 247.25264    246.33711
   245.64005   ]]

 [[  8.939352   -13.562355     4.511005   ...  14.257829    -2.6877859
     6.331879  ]
  [ 12.035225    -8.48717     -2.0512657  ...   1.5229878   -4.6642046
     6.433884  ]
  [ 18.835363     6.828839     8.584142   ...   0.45818096  -5.0262995
    -8.738868  ]
  ...
  [ 10.357531     7.0505476  -12.515791   ... -15.622249    12.9654255
    -2.9103882 ]
  [  6.8426623    3.6074283    6.741223   ...  -3.6700757   -7.1936145
     3.2861958 ]
  [  8.211078   -23.063936    -9.270783   ...  -3.1884894    5.844011
     6.899855  ]]]",Periodic-Other
ZTF18acvwajm,"[[[ 3.26898132e+02  3.37547668e+02  3.17756714e+02 ...  3.30222839e+02
    3.34924072e+02  3.38238098e+02]
  [ 3.19152344e+02  3.20450745e+02  3.30105225e+02 ...  3.15285767e+02
    3.31343201e+02  3.23862701e+02]
  [ 3.13968201e+02  3.38298096e+02  3.34462463e+02 ...  3.18008728e+02
    3.23093079e+02  3.42332062e+02]
  ...
  [ 3.14317963e+02  3.24449158e+02  3.22791229e+02 ...  3.41191833e+02
    3.29899353e+02  3.26402222e+02]
  [ 3.37573364e+02  3.29082855e+02  3.15705139e+02 ...  3.38862183e+02
    3.28491150e+02  3.23808228e+02]
  [ 3.48403778e+02  3.26696167e+02  3.37274780e+02 ...  3.35440857e+02
    3.30636230e+02  3.46742371e+02]]

 [[ 3.29543915e+02  3.30070892e+02  3.30595245e+02 ...  3.29487152e+02
    3.27111572e+02  3.25045502e+02]
  [ 3.28837158e+02  3.25513184e+02  3.30035065e+02 ...  3.28313171e+02
    3.29562775e+02  3.26202515e+02]
  [ 3.26958923e+02  3.28930908e+02  3.30027008e+02 ...  3.32916840e+02
    3.32663788e+02  3.26681915e+02]
  ...
  [ 3.31507050e+02  3.29676392e+02  3.28713318e+02 ...  3.30131195e+02
    3.29609070e+02  3.28752289e+02]
  [ 3.30255341e+02  3.27074646e+02  3.29912354e+02 ...  3.29552246e+02
    3.28804230e+02  3.26587708e+02]
  [ 3.28489319e+02  3.28568634e+02  3.30458893e+02 ...  3.28115692e+02
    3.31974609e+02  3.28463715e+02]]

 [[ 2.77160913e-01  4.00029802e+00 -1.24736376e+01 ...  1.94926882e+00
    8.85257053e+00  8.65598106e+00]
  [-1.59772530e+01 -4.67172527e+00  4.63474655e+00 ... -1.82397614e+01
   -1.75895119e+00 -4.03680992e+00]
  [-1.10117531e+01  8.46202278e+00 -2.85557061e-01 ... -9.17123032e+00
   -4.85061407e+00  1.70120201e+01]
  ...
  [-1.55199375e+01  1.43525928e-01 -1.00956631e+01 ...  9.05299377e+00
    1.56137013e+00 -3.17527413e+00]
  [ 1.34233150e+01 -7.53428793e+00 -1.23928881e+01 ...  1.13367739e+01
   -2.53063011e+00 -2.51869130e+00]
  [ 1.37070608e+01  2.39513373e+00  9.31366825e+00 ...  6.16435909e+00
    2.49836659e+00  2.17240276e+01]]]",AGN
ZTF19aapdjow,"[[[ 3.17583649e+02  3.68316620e+02  3.22887238e+02 ...  3.30389832e+02
    3.42904358e+02  3.17095947e+02]
  [ 3.19491913e+02  3.35102386e+02  3.44594696e+02 ...  3.27661255e+02
    3.22808105e+02  3.35597168e+02]
  [ 3.27571808e+02  3.31290314e+02  3.28113190e+02 ...  3.20641174e+02
    3.51367554e+02  3.26088135e+02]
  ...
  [ 3.43668488e+02  3.40466888e+02  3.39526459e+02 ...  3.29626678e+02
    3.49213837e+02  3.27083038e+02]
  [ 3.36678864e+02  3.30455841e+02  3.39629181e+02 ...  3.28320892e+02
    3.33154572e+02  3.36001801e+02]
  [ 3.29228790e+02  3.33062286e+02  3.51371796e+02 ...  3.30021881e+02
    3.20403839e+02  3.27731903e+02]]

 [[ 3.34351562e+02  3.33858856e+02  3.38757019e+02 ...  3.32851440e+02
    3.32681305e+02  3.35808411e+02]
  [ 3.35229156e+02  3.34379944e+02  3.35720032e+02 ...  3.34637177e+02
    3.36109222e+02  3.34034973e+02]
  [ 3.31865570e+02  3.37136169e+02  3.33868500e+02 ...  3.37474731e+02
    3.34456299e+02  3.34817871e+02]
  ...
  [ 3.34738098e+02  3.33159302e+02  3.34732178e+02 ...  3.35076660e+02
    3.33278168e+02  3.38166107e+02]
  [ 3.35247772e+02  3.33947723e+02  3.34287903e+02 ...  3.33090607e+02
    3.33772888e+02  3.34285706e+02]
  [ 3.36933990e+02  3.35233307e+02  3.31354004e+02 ...  3.29752106e+02
    3.33454010e+02  3.36514282e+02]]

 [[ 1.52886305e+01 -3.22029076e+01  1.03327494e+01 ... -7.41528943e-02
   -6.06136847e+00  1.48501711e+01]
  [ 1.54495106e+01  1.83228445e+00 -7.36330509e+00 ...  1.06402950e+01
    8.61066532e+00  1.45279026e+00]
  [ 4.00863934e+00  4.25671673e+00  5.57829380e+00 ...  1.32710466e+01
   -1.34257259e+01  6.83995867e+00]
  ...
  [-8.16141319e+00 -8.24331951e+00 -4.90392399e+00 ...  5.27215958e+00
   -1.80060234e+01  1.11875324e+01]
  [-1.91051245e+00  5.60356140e+00 -6.38103628e+00 ...  6.58988571e+00
    4.44917250e+00 -3.73812151e+00]
  [ 6.39536715e+00  1.04981363e+00 -2.12249260e+01 ... -6.99736977e+00
    1.24535217e+01  1.32842236e+01]]]",AGN
ZTF18acqykws,"[[[245.01265    235.13689    224.48088    ... 219.52565    213.11034
   238.73479   ]
  [245.29863    237.1718     215.07384    ... 231.71223    227.87279
   217.49083   ]
  [224.86812    227.62663    231.08315    ... 234.01231    220.31294
   225.78316   ]
  ...
  [228.95598    210.73442    226.55574    ... 231.638      226.889
   228.3248    ]
  [220.21361    232.83351    221.7899     ... 229.41272    206.53146
   194.86737   ]
  [228.71892    226.36745    220.78642    ... 222.84967    229.98218
   236.17645   ]]

 [[227.03342    227.29045    223.0368     ... 225.26396    226.10313
   224.80048   ]
  [226.48549    223.54765    224.2261     ... 225.37263    226.26222
   226.45016   ]
  [226.29865    225.9995     224.09268    ... 224.86702    227.3145
   227.95122   ]
  ...
  [228.71317    226.05038    224.73363    ... 228.99998    226.25412
   225.51245   ]
  [225.23636    225.58463    224.94502    ... 224.54492    227.44884
   226.8522    ]
  [225.90865    226.55112    226.45393    ... 225.27861    224.48473
   224.35103   ]]

 [[ 21.674341     9.593429    -0.5991371  ...  -9.489867    -9.421663
    13.142965  ]
  [ 17.749706    11.521012    -6.841382   ...  10.387283     1.9038982
   -12.6150255 ]
  [ -3.1286824    3.6906776    4.7127557  ...   7.820895   -11.085808
     4.0144825 ]
  ...
  [ -2.4410899  -12.111167     3.302362   ...   7.6345453    1.6274476
    -5.013555  ]
  [ -2.6310353    7.556228    -9.034811   ...   0.7500179  -22.262545
   -26.038612  ]
  [  0.9050759   -2.5652504    0.26806614 ...  -0.8514196   10.135193
     9.289662  ]]]",Periodic-Other
ZTF18aabxtrk,"[[[139.74527   138.1279    147.90921   ... 153.2492    125.47427
   156.92474  ]
  [155.91452   150.62817   151.0957    ... 132.16568   149.04108
   141.63248  ]
  [146.18283   158.50381   152.23917   ... 175.95917   157.0293
   156.44168  ]
  ...
  [149.42212   133.45798   162.03186   ... 138.26123   129.89139
   174.68036  ]
  [169.77765   150.35275   149.07144   ... 134.18225   155.43744
   156.18594  ]
  [146.95255   144.2268    151.56213   ... 164.51178   173.94666
   148.89761  ]]

 [[151.16954   150.45538   149.27231   ... 150.16193   150.6096
   150.83391  ]
  [150.1634    150.62709   149.1212    ... 150.10439   150.53696
   150.32153  ]
  [150.63571   148.81387   149.699     ... 150.71242   150.04652
   150.40889  ]
  ...
  [151.96317   150.96144   150.49596   ... 151.89442   151.94495
   150.92368  ]
  [149.99573   151.00648   149.2611    ... 152.14706   152.18431
   149.738    ]
  [149.8397    150.68233   150.79915   ... 151.0308    152.22592
   148.44756  ]]

 [[  9.072709   13.94128     1.8774405 ...   3.546571   24.607912
    -2.8492384]
  [ -4.819941   -2.9872684  -0.7442388 ...  12.70025     0.2859849
     7.697709 ]
  [  3.288863   -5.6312547  -1.3387486 ... -22.254042   -7.250212
    -3.172664 ]
  ...
  [  0.4069131  12.990833   -4.5148444 ...  16.695578   20.688866
   -20.167866 ]
  [-20.821753    1.8622574  -1.5833577 ...  14.155702   -6.0853744
    -6.5372686]
  [  8.377622    3.3791027   2.6503174 ... -11.555155  -22.348858
     3.3942351]]]",Periodic-Other
ZTF19aadgrbd,"[[[  0.          0.        358.42618   ... 364.69296   389.5593
   374.218    ]
  [  0.          0.        385.5015    ... 372.88913   367.96512
   364.67014  ]
  [  0.          0.        379.88785   ... 373.92294   393.31155
   381.56216  ]
  ...
  [  0.          0.        348.50012   ... 368.79486   364.7489
   371.47607  ]
  [  0.          0.        380.10822   ... 363.54486   375.42828
   353.649    ]
  [  0.        368.48608   371.3537    ... 379.4602    390.28064
   389.85114  ]]

 [[  0.          0.        374.7025    ... 371.22925   372.55264
   369.15726  ]
  [  0.          0.        369.85553   ... 369.78964   370.29947
   371.6276   ]
  [  0.          0.        368.52893   ... 367.25836   372.43594
   370.25693  ]
  ...
  [  0.          0.        371.208     ... 369.66278   370.77527
   369.605    ]
  [  0.          0.        368.88297   ... 371.71313   372.70316
   369.9937   ]
  [  0.        372.71338   370.76733   ... 373.20224   371.31512
   372.26334  ]]

 [[  0.          0.        -16.013985  ...  -6.442531   17.155144
     1.741438 ]
  [  0.          0.         16.262962  ...   4.0075545  -3.6820357
    -5.4822803]
  [  0.          0.          6.7182426 ...   3.4911354  23.681482
    10.669566 ]
  ...
  [  0.          0.        -21.039742  ...  -2.017927   -6.573531
    -2.506738 ]
  [  0.          0.         10.545402  ... -10.375215    4.9987063
   -16.662888 ]
  [  0.         -3.1771982   0.8238595 ...  10.045017   16.803001
    19.35448  ]]]",Periodic-Other
ZTF18adalceg,"[[[ 3.4507568e+02  3.3914819e+02  3.6082159e+02 ...  3.5758008e+02
    3.4429596e+02  3.6716083e+02]
  [ 3.3720776e+02  3.3616644e+02  3.4499664e+02 ...  3.4063702e+02
    3.5918079e+02  3.4583795e+02]
  [ 3.4533099e+02  3.4934790e+02  3.5593713e+02 ...  3.4696869e+02
    3.4684564e+02  3.6677301e+02]
  ...
  [ 3.4274597e+02  3.4561597e+02  3.2590863e+02 ...  3.3657642e+02
    3.3688806e+02  3.5403827e+02]
  [ 3.4570343e+02  3.4650067e+02  3.5608563e+02 ...  3.6872202e+02
    3.4245322e+02  3.3357968e+02]
  [ 3.4625006e+02  3.5695807e+02  3.2108514e+02 ...  3.5543881e+02
    3.5380045e+02  3.6327414e+02]]

 [[ 3.4373911e+02  3.4630396e+02  3.4552481e+02 ...  3.4650458e+02
    3.4252316e+02  3.4542435e+02]
  [ 3.4579919e+02  3.4451532e+02  3.4571976e+02 ...  3.4821375e+02
    3.4614209e+02  3.4446768e+02]
  [ 3.4681519e+02  3.4622858e+02  3.4624356e+02 ...  3.4509698e+02
    3.4779599e+02  3.4735593e+02]
  ...
  [ 3.4513925e+02  3.4528687e+02  3.4811743e+02 ...  3.4663831e+02
    3.4347192e+02  3.4543927e+02]
  [ 3.4475217e+02  3.4558005e+02  3.4390942e+02 ...  3.4485364e+02
    3.4241354e+02  3.4438159e+02]
  [ 3.4405478e+02  3.4657748e+02  3.4554782e+02 ...  3.4464664e+02
    3.4471320e+02  3.4556088e+02]]

 [[-2.1281023e+00  5.4105039e+00 -1.3085505e+01 ... -1.0216746e+01
   -2.3243234e+00 -2.1254599e+01]
  [ 1.0194700e+01  8.0143147e+00  2.1287317e+00 ...  7.9423695e+00
   -1.1206834e+01 -9.4613183e-01]
  [ 1.4288392e+00 -4.8333082e+00 -7.4970188e+00 ... -4.4734731e+00
    9.7361386e-01 -2.1133497e+01]
  ...
  [ 1.7347630e+00 -1.0262249e+00  2.0970694e+01 ...  8.4416246e+00
    9.2404518e+00 -5.4245620e+00]
  [ 2.2820766e+00 -1.2318212e+00 -9.6213169e+00 ... -2.4852882e+01
    1.8423051e-01  9.7310677e+00]
  [-4.8993349e+00 -9.7193604e+00  2.5762100e+01 ... -7.9055681e+00
   -8.4151506e+00 -1.8691988e+01]]]",Periodic-Other
ZTF19aaaeqta,"[[[200.93945    205.7373     209.46796    ... 206.29001    202.13083
   187.08835   ]
  [216.85217    186.0694     200.62659    ... 204.01425    208.1188
   185.0698    ]
  [187.53815    212.62921    207.22803    ... 190.01657    201.32089
   191.564     ]
  ...
  [185.1502     194.02393    212.75671    ... 198.6322     204.26416
   196.927     ]
  [206.74701    189.06915    213.47418    ... 210.38507    203.03564
   204.98175   ]
  [202.50293    206.08362    199.49756    ... 201.36615    187.93042
   184.56415   ]]

 [[204.07672    203.04732    202.79805    ... 205.49825    203.45969
   201.1799    ]
  [203.77304    203.7343     203.61511    ... 202.85416    204.6082
   203.52303   ]
  [203.53955    203.72035    203.65717    ... 201.83066    203.80821
   203.98682   ]
  ...
  [203.93501    204.5223     204.78773    ... 203.08064    204.80388
   203.5523    ]
  [203.89972    202.54115    203.8209     ... 203.5569     204.1224
   204.2748    ]
  [202.86874    204.16489    204.49335    ... 203.30344    204.06943
   204.26329   ]]

 [[ -2.5674424    2.7864807    5.86258    ...   2.4748697   -1.985519
   -16.162693  ]
  [ 13.344461   -17.42178     -3.286731   ...  -1.4908129    3.8795602
   -17.49462   ]
  [-16.946692    10.46631      3.9933693  ... -12.132376    -2.8141077
   -12.1144905 ]
  ...
  [-17.320374   -10.652045     9.258408   ...  -3.7309198    1.9623461
    -3.2226744 ]
  [  2.6825871  -15.921449     8.224572   ...   6.7902083   -2.436609
    -0.98110986]
  [ -1.8818258    3.9582984   -4.387836   ...  -3.4866319  -15.913494
   -18.54483   ]]]",QSO
ZTF18acvwanl,"[[[ 3.95693085e+02  4.05343018e+02  3.88718262e+02 ...  3.88333771e+02
    4.14656097e+02  3.97704895e+02]
  [ 4.03871704e+02  4.05320831e+02  4.02324127e+02 ...  3.91926849e+02
    3.76888000e+02  4.00809143e+02]
  [ 3.79652100e+02  3.86522583e+02  4.11861847e+02 ...  3.92566071e+02
    3.88546417e+02  4.13369263e+02]
  ...
  [ 4.06165924e+02  4.17686676e+02  4.12696320e+02 ...  3.97366211e+02
    4.04488434e+02  4.04892609e+02]
  [ 4.01596558e+02  4.07738983e+02  4.00289124e+02 ...  4.01966858e+02
    3.97170319e+02  4.00281647e+02]
  [ 4.02240112e+02  4.20189911e+02  4.27115265e+02 ...  3.83800995e+02
    4.00996521e+02  3.90892487e+02]]

 [[ 3.97085968e+02  3.97352844e+02  3.98433350e+02 ...  3.98881653e+02
    3.96055817e+02  3.96356354e+02]
  [ 3.97025635e+02  3.96188354e+02  3.99771240e+02 ...  3.96491699e+02
    3.96228394e+02  3.94550629e+02]
  [ 3.96237366e+02  3.95688446e+02  3.97806946e+02 ...  3.98122162e+02
    3.96685760e+02  3.96816803e+02]
  ...
  [ 4.02388367e+02  4.11372925e+02  4.22480072e+02 ...  3.98882812e+02
    4.00944855e+02  3.97467285e+02]
  [ 4.00358124e+02  4.06951538e+02  4.19191193e+02 ...  3.99984192e+02
    3.97130676e+02  4.00453644e+02]
  [ 4.02245819e+02  4.08633331e+02  4.14515076e+02 ...  3.97907745e+02
    3.98582367e+02  3.98542114e+02]]

 [[ 1.13454258e+00 -7.65558052e+00  7.08773899e+00 ...  1.10521917e+01
   -1.66804810e+01 -3.58401823e+00]
  [-7.70543814e+00 -6.59476805e+00 -5.96111488e+00 ...  2.19325161e+00
    2.19109764e+01 -4.81566238e+00]
  [ 1.60780106e+01  1.05212002e+01 -1.23775339e+01 ...  6.73963118e+00
    6.92301273e+00 -1.44521494e+01]
  ...
  [-3.86652732e+00 -8.93018627e+00  6.77080965e+00 ...  4.95556164e+00
   -6.54997444e+00 -7.25078201e+00]
  [ 1.49493563e+00 -1.45714116e+00  1.33258429e+01 ... -7.57728159e-01
    5.52818000e-01 -5.60231507e-01]
  [ 3.85401726e-01 -1.45596485e+01 -1.69028111e+01 ...  1.44102335e+01
   -2.21864223e+00  4.92830038e+00]]]",Periodic-Other
